time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-21 00:00:00+00:00,212,86,192,68
2022-05-22 00:00:00+00:00,252,95,405,81
2022-05-23 00:00:00+00:00,644,144,681,117
2022-05-24 00:00:00+00:00,334,126,426,120
2022-05-25 00:00:00+00:00,634,153,644,130
2022-05-26 00:00:00+00:00,365,97,470,119
2022-05-27 00:00:00+00:00,370,106,386,89
2022-05-28 00:00:00+00:00,307,104,450,65
2022-05-29 00:00:00+00:00,443,126,355,78
2022-05-30 00:00:00+00:00,390,115,656,106
2022-05-31 00:00:00+00:00,346,118,724,115
2022-06-01 00:00:00+00:00,1040,101,417,90
2022-06-02 00:00:00+00:00,963,109,649,92
2022-06-03 00:00:00+00:00,973,114,505,82
