time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-24 00:00:00+00:00,651,139,474,90
2022-06-25 00:00:00+00:00,376,102,192,34
2022-06-26 00:00:00+00:00,269,89,225,54
2022-06-27 00:00:00+00:00,364,130,390,94
2022-06-28 00:00:00+00:00,426,137,446,80
2022-06-29 00:00:00+00:00,303,112,405,98
2022-06-30 00:00:00+00:00,298,119,409,87
2022-07-01 00:00:00+00:00,297,105,431,79
2022-07-02 00:00:00+00:00,294,97,281,67
2022-07-03 00:00:00+00:00,382,117,304,57
2022-07-04 00:00:00+00:00,644,129,598,113
2022-07-05 00:00:00+00:00,519,142,449,112
2022-07-06 00:00:00+00:00,381,132,336,92
2022-07-07 00:00:00+00:00,262,109,354,82
